timestamp(gps),latitude,longitude,altitude,timestamp(sensor),temperature,pressure,humidity
,,,,1758544649,25.66,55.64,1002.43
,,,,1758544649,25.66,55.64,1002.43
,,,,1758544654,25.72,55.36,1002.44
,,,,1758544654,25.72,55.36,1002.44
,,,,1758544660,25.76,55.22,1002.45
,,,,1758544660,25.76,55.22,1002.45
,,,,1758544665,25.80,55.16,1002.45
,,,,1758544665,25.80,55.16,1002.45
,,,,1758544670,25.84,55.05,1002.46
,,,,1758544670,25.84,55.05,1002.46
,,,,1758544676,25.87,54.99,1002.47
,,,,1758544676,25.87,54.99,1002.47
,,,,1758544681,25.90,55.34,1002.47
,,,,1758544681,25.90,55.34,1002.47
,,,,1758544687,25.92,55.56,1002.47
,,,,1758544687,25.92,55.56,1002.47
,,,,1758544692,25.93,55.68,1002.48
,,,,1758544692,25.93,55.68,1002.48
,,,,1758544697,25.95,55.85,1002.48
,,,,1758544697,25.95,55.85,1002.48
,,,,1758544703,25.96,55.93,1002.49
,,,,1758544703,25.96,55.93,1002.49
,,,,1758544708,25.97,55.94,1002.49
,,,,1758544708,25.97,55.94,1002.49
,,,,1758544713,25.98,55.76,1002.50
,,,,1758544713,25.98,55.76,1002.50
,,,,1758544719,25.99,55.53,1002.50
,,,,1758544719,25.99,55.53,1002.50
,,,,1758544724,25.99,55.49,1002.49
,,,,1758544724,25.99,55.49,1002.49
,,,,1758544730,26.00,55.60,1002.49
,,,,1758544730,26.00,55.60,1002.49
,,,,1758544735,26.00,55.45,1002.49
,,,,1758544735,26.00,55.45,1002.49
,,,,1758544740,26.00,55.14,1002.49
,,,,1758544740,26.00,55.14,1002.49
,,,,1758544746,26.00,55.05,1002.49
,,,,1758544746,26.00,55.05,1002.49
,,,,1758544751,25.99,55.00,1002.49
,,,,1758544751,25.99,55.00,1002.49
,,,,1758544756,25.99,54.96,1002.49
,,,,1758544756,25.99,54.96,1002.49
,,,,1758544762,25.99,55.01,1002.49
,,,,1758544762,25.99,55.01,1002.49
,,,,1758544767,25.99,54.81,1002.50
,,,,1758544767,25.99,54.81,1002.50
,,,,1758544773,25.98,54.58,1002.50
,,,,1758544773,25.98,54.58,1002.50
1758544775,0.0,0.0,0.0,1758544773,25.98,54.58,1002.50
1758544777,0.0,0.0,0.0,1758544773,25.98,54.58,1002.50
1758544777,0.0,0.0,0.0,1758544778,25.97,54.52,1002.50
1758544777,0.0,0.0,0.0,1758544778,25.97,54.52,1002.50
1758544779,0.0,0.0,0.0,1758544778,25.97,54.52,1002.50
1758544781,0.0,0.0,0.0,1758544778,25.97,54.52,1002.50
1758544783,0.0,0.0,0.0,1758544778,25.97,54.52,1002.50
1758544783,0.0,0.0,0.0,1758544783,25.96,54.51,1002.49
1758544783,0.0,0.0,0.0,1758544783,25.96,54.51,1002.49
1758544785,0.0,0.0,0.0,1758544783,25.96,54.51,1002.49
1758544787,0.0,0.0,0.0,1758544783,25.96,54.51,1002.49
1758544787,0.0,0.0,0.0,1758544789,25.95,54.34,1002.49
1758544787,0.0,0.0,0.0,1758544789,25.95,54.34,1002.49
1758544789,0.0,0.0,0.0,1758544789,25.95,54.34,1002.49
1758544791,0.0,0.0,0.0,1758544789,25.95,54.34,1002.49
1758544793,0.0,0.0,0.0,1758544789,25.95,54.34,1002.49
1758544793,0.0,0.0,0.0,1758544794,25.94,54.17,1002.49
1758544793,0.0,0.0,0.0,1758544794,25.94,54.17,1002.49
1758544795,0.0,0.0,0.0,1758544794,25.94,54.17,1002.49
1758544797,0.0,0.0,0.0,1758544794,25.94,54.17,1002.49
1758544799,0.0,0.0,0.0,1758544794,25.94,54.17,1002.49
1758544799,0.0,0.0,0.0,1758544799,25.93,54.07,1002.48
1758544799,0.0,0.0,0.0,1758544799,25.93,54.07,1002.48
1758544801,0.0,0.0,0.0,1758544799,25.93,54.07,1002.48
1758544803,0.0,0.0,0.0,1758544799,25.93,54.07,1002.48
1758544803,0.0,0.0,0.0,1758544805,25.91,54.05,1002.48
1758544803,0.0,0.0,0.0,1758544805,25.91,54.05,1002.48
1758544805,0.0,0.0,0.0,1758544805,25.91,54.05,1002.48
1758544807,0.0,0.0,0.0,1758544805,25.91,54.05,1002.48
1758544809,0.0,0.0,0.0,1758544805,25.91,54.05,1002.48
1758544809,0.0,0.0,0.0,1758544810,25.90,54.09,1002.48
1758544809,0.0,0.0,0.0,1758544810,25.90,54.09,1002.48
1758544811,0.0,0.0,0.0,1758544810,25.90,54.09,1002.48
1758544813,0.0,0.0,0.0,1758544810,25.90,54.09,1002.48
1758544815,0.0,0.0,0.0,1758544810,25.90,54.09,1002.48
1758544815,0.0,0.0,0.0,1758544816,25.89,54.14,1002.48
1758544815,0.0,0.0,0.0,1758544816,25.89,54.14,1002.48
1758544817,0.0,0.0,0.0,1758544816,25.89,54.14,1002.48
1758544819,0.0,0.0,0.0,1758544816,25.89,54.14,1002.48
1758544819,0.0,0.0,0.0,1758544821,25.88,54.16,1002.47
1758544819,0.0,0.0,0.0,1758544821,25.88,54.16,1002.47
1758544821,0.0,0.0,0.0,1758544821,25.88,54.16,1002.47
1758544823,0.0,0.0,0.0,1758544821,25.88,54.16,1002.47
1758544825,0.0,0.0,0.0,1758544821,25.88,54.16,1002.47
1758544825,0.0,0.0,0.0,1758544826,25.87,54.16,1002.46
1758544825,0.0,0.0,0.0,1758544826,25.87,54.16,1002.46
1758544827,0.0,0.0,0.0,1758544826,25.87,54.16,1002.46
1758544829,0.0,0.0,0.0,1758544826,25.87,54.16,1002.46
1758544831,0.0,0.0,0.0,1758544826,25.87,54.16,1002.46
1758544831,0.0,0.0,0.0,1758544832,25.87,54.16,1002.44
1758544831,0.0,0.0,0.0,1758544832,25.87,54.16,1002.44
1758544833,0.0,0.0,0.0,1758544832,25.87,54.16,1002.44
1758544835,0.0,0.0,0.0,1758544832,25.87,54.16,1002.44
1758544835,0.0,0.0,0.0,1758544837,25.86,54.94,1002.42
1758544835,0.0,0.0,0.0,1758544837,25.86,54.94,1002.42
1758544837,0.0,0.0,0.0,1758544837,25.86,54.94,1002.42
1758544839,0.0,0.0,0.0,1758544837,25.86,54.94,1002.42
1758544841,0.0,0.0,0.0,1758544837,25.86,54.94,1002.42
1758544843,0.0,0.0,0.0,1758544837,25.86,54.94,1002.42
1758544843,0.0,0.0,0.0,1758544842,25.84,55.87,1002.41
1758544845,0.0,0.0,0.0,1758544842,25.84,55.87,1002.41
1758544845,0.0,0.0,0.0,1758544842,25.84,55.87,1002.41
1758544847,0.0,0.0,0.0,1758544842,25.84,55.87,1002.41
1758544847,0.0,0.0,0.0,1758544848,25.81,56.13,1002.39
1758544847,0.0,0.0,0.0,1758544848,25.81,56.13,1002.39
1758544849,0.0,0.0,0.0,1758544848,25.81,56.13,1002.39
1758544851,0.0,0.0,0.0,1758544848,25.81,56.13,1002.39
1758544851,0.0,0.0,0.0,1758544853,25.80,56.20,1002.38
1758544851,0.0,0.0,0.0,1758544853,25.80,56.20,1002.38
1758544853,0.0,0.0,0.0,1758544853,25.80,56.20,1002.38
1758544855,0.0,0.0,0.0,1758544853,25.80,56.20,1002.38
1758544857,0.0,0.0,0.0,1758544853,25.80,56.20,1002.38
1758544859,0.0,0.0,0.0,1758544853,25.80,56.20,1002.38
1758544861,0.0,0.0,0.0,1758544853,25.80,56.20,1002.38
1758544863,0.0,0.0,0.0,1758544853,25.80,56.20,1002.38
1758544865,0.0,0.0,0.0,1758544853,25.80,56.20,1002.38
1758544867,0.0,0.0,0.0,1758544853,25.80,56.20,1002.38
1758544869,0.0,0.0,0.0,1758544853,25.80,56.20,1002.38
1758544871,0.0,0.0,0.0,1758544853,25.80,56.20,1002.38
1758544873,0.0,0.0,0.0,1758544853,25.80,56.20,1002.38
1758544875,0.0,0.0,0.0,1758544853,25.80,56.20,1002.38
1758544877,0.0,0.0,0.0,1758544853,25.80,56.20,1002.38
1758544879,0.0,0.0,0.0,1758544853,25.80,56.20,1002.38
1758544881,0.0,0.0,0.0,1758544853,25.80,56.20,1002.38
1758544883,0.0,0.0,0.0,1758544853,25.80,56.20,1002.38
1758544885,0.0,0.0,0.0,1758544853,25.80,56.20,1002.38
1758544887,0.0,0.0,0.0,1758544853,25.80,56.20,1002.38
1758544889,0.0,0.0,0.0,1758544853,25.80,56.20,1002.38
1758544891,0.0,0.0,0.0,1758544853,25.80,56.20,1002.38
1758544893,0.0,0.0,0.0,1758544853,25.80,56.20,1002.38
1758544895,0.0,0.0,0.0,1758544853,25.80,56.20,1002.38
1758544897,0.0,0.0,0.0,1758544853,25.80,56.20,1002.38
1758544899,0.0,0.0,0.0,1758544853,25.80,56.20,1002.38
1758544901,0.0,0.0,0.0,1758544853,25.80,56.20,1002.38
1758544903,0.0,0.0,0.0,1758544853,25.80,56.20,1002.38
1758544905,0.0,0.0,0.0,1758544853,25.80,56.20,1002.38
1758544907,0.0,0.0,0.0,1758544853,25.80,56.20,1002.38
1758544909,0.0,0.0,0.0,1758544853,25.80,56.20,1002.38
1758544911,0.0,0.0,0.0,1758544853,25.80,56.20,1002.38
1758544913,0.0,0.0,0.0,1758544853,25.80,56.20,1002.38
1758544915,0.0,0.0,0.0,1758544853,25.80,56.20,1002.38
1758544917,0.0,0.0,0.0,1758544853,25.80,56.20,1002.38
1758544917,0.0,0.0,0.0,1758544919,26.15,85.79,1002.41
1758544917,0.0,0.0,0.0,1758544919,26.15,85.79,1002.41
1758544919,0.0,0.0,0.0,1758544919,26.15,85.79,1002.41
1758544921,0.0,0.0,0.0,1758544919,26.15,85.79,1002.41
1758544923,0.0,0.0,0.0,1758544919,26.15,85.79,1002.41
1758544923,0.0,0.0,0.0,1758544925,26.34,85.54,1002.44
1758544923,0.0,0.0,0.0,1758544925,26.34,85.54,1002.44
1758544925,0.0,0.0,0.0,1758544925,26.34,85.54,1002.44
1758544927,0.0,0.0,0.0,1758544925,26.34,85.54,1002.44
1758544929,0.0,0.0,0.0,1758544925,26.34,85.54,1002.44
1758544929,0.0,0.0,0.0,1758544930,26.49,85.30,1002.48
1758544929,0.0,0.0,0.0,1758544930,26.49,85.30,1002.48
1758544931,0.0,0.0,0.0,1758544930,26.49,85.30,1002.48
1758544933,0.0,0.0,0.0,1758544930,26.49,85.30,1002.48
1758544935,0.0,0.0,0.0,1758544930,26.49,85.30,1002.48
1758544935,0.0,0.0,0.0,1758544936,26.61,85.31,1002.52
1758544935,0.0,0.0,0.0,1758544936,26.61,85.31,1002.52
1758544937,0.0,0.0,0.0,1758544936,26.61,85.31,1002.52
1758544939,0.0,0.0,0.0,1758544936,26.61,85.31,1002.52
