timestamp(gps),latitude,longitude,altitude,timestamp(sensor),temperature,pressure,humidity
,,,,1758783676,26.22,75.09,1000.44
,,,,1758783676,26.22,75.09,1000.44
,,,,1758783681,26.43,74.93,1000.42
,,,,1758783681,26.43,74.93,1000.42
,,,,1758783687,26.57,74.85,1000.41
,,,,1758783687,26.57,74.85,1000.41
,,,,1758783692,26.66,74.86,1000.42
,,,,1758783692,26.66,74.86,1000.42
,,,,1758783698,26.74,75.06,1000.41
,,,,1758783698,26.74,75.06,1000.41
,,,,1758783703,26.79,75.09,1000.40
,,,,1758783703,26.79,75.09,1000.40
,,,,1758783708,26.84,75.08,1000.39
,,,,1758783708,26.84,75.08,1000.39
,,,,1758783714,26.88,75.08,1000.38
,,,,1758783714,26.88,75.08,1000.38
,,,,1758783719,26.91,75.04,1000.38
,,,,1758783719,26.91,75.04,1000.38
,,,,1758783724,26.93,74.93,1000.37
,,,,1758783724,26.93,74.93,1000.37
,,,,1758783730,26.95,75.12,1000.37
,,,,1758783730,26.95,75.12,1000.37
,,,,1758783735,26.98,75.55,1000.37
,,,,1758783735,26.98,75.55,1000.37
,,,,1758783741,27.00,75.53,1000.36
,,,,1758783741,27.00,75.53,1000.36
,,,,1758783746,27.02,75.49,1000.36
,,,,1758783746,27.02,75.49,1000.36
,,,,1758783751,27.05,75.47,1000.36
,,,,1758783751,27.05,75.47,1000.36
,,,,1758783757,27.07,75.48,1000.35
,,,,1758783757,27.07,75.48,1000.35
,,,,1758783762,27.08,75.43,1000.36
,,,,1758783762,27.08,75.43,1000.36
,,,,1758783767,27.05,75.43,1000.37
,,,,1758783767,27.05,75.43,1000.37
,,,,1758783773,26.98,75.61,1000.40
,,,,1758783778,26.93,75.86,1000.38
,,,,1758783784,26.89,76.03,1000.35
,,,,1758783784,26.89,76.03,1000.35
,,,,1758783789,26.87,76.21,1000.33
,,,,1758783789,26.87,76.21,1000.33
,,,,1758783794,26.87,76.37,1000.32
,,,,1758783794,26.87,76.37,1000.32
,,,,1758783800,26.87,76.44,1000.31
,,,,1758783800,26.87,76.44,1000.31
,,,,1758783805,26.87,76.44,1000.30
,,,,1758783805,26.87,76.44,1000.30
,,,,1758783810,26.86,75.72,1000.28
,,,,1758783810,26.86,75.72,1000.28
,,,,1758783816,26.85,74.70,1000.27
,,,,1758783816,26.85,74.70,1000.27
