timestamp(gps),latitude,longitude,altitude,timestamp(sensor),temperature,pressure,humidity
,,,,1758782783,26.34,79.34,1000.42
,,,,1758782783,26.34,79.34,1000.42
,,,,1758782789,26.15,79.20,1000.42
,,,,1758782789,26.15,79.20,1000.42
,,,,1758782794,26.02,78.85,1000.44
,,,,1758782794,26.02,78.85,1000.44
,,,,1758782800,25.92,78.95,1000.44
,,,,1758782800,25.92,78.95,1000.44
,,,,1758782805,25.86,78.85,1000.44
,,,,1758782805,25.86,78.85,1000.44
,,,,1758782810,25.81,78.94,1000.45
,,,,1758782810,25.81,78.94,1000.45
,,,,1758782816,25.78,78.78,1000.46
,,,,1758782816,25.78,78.78,1000.46
,,,,1758782821,25.76,78.58,1000.45
,,,,1758782821,25.76,78.58,1000.45
,,,,1758782826,25.75,78.94,1000.45
,,,,1758782826,25.75,78.94,1000.45
,,,,1758782832,25.75,78.95,1000.45
,,,,1758782832,25.75,78.95,1000.45
,,,,1758782837,25.75,78.88,1000.45
,,,,1758782837,25.75,78.88,1000.45
,,,,1758782843,25.75,78.81,1000.46
,,,,1758782843,25.75,78.81,1000.46
,,,,1758782848,25.75,78.94,1000.47
,,,,1758782848,25.75,78.94,1000.47
,,,,1758782853,25.75,79.33,1000.48
,,,,1758782853,25.75,79.33,1000.48
,,,,1758782859,25.76,79.52,1000.48
,,,,1758782859,25.76,79.52,1000.48
,,,,1758782864,25.77,79.47,1000.47
,,,,1758782864,25.77,79.47,1000.47
,,,,1758782869,25.78,79.38,1000.47
,,,,1758782869,25.78,79.38,1000.47
,,,,1758782875,25.79,79.20,1000.47
,,,,1758782875,25.79,79.20,1000.47
,,,,1758782880,25.80,79.01,1000.46
,,,,1758782880,25.80,79.01,1000.46
,,,,1758782886,25.81,79.00,1000.45
,,,,1758782886,25.81,79.00,1000.45
,,,,1758782891,25.83,78.94,1000.45
,,,,1758782891,25.83,78.94,1000.45
,,,,1758782896,25.84,78.86,1000.45
,,,,1758782896,25.84,78.86,1000.45
,,,,1758782902,25.86,79.14,1000.46
,,,,1758782902,25.86,79.14,1000.46
,,,,1758782907,25.87,79.11,1000.45
,,,,1758782907,25.87,79.11,1000.45
,,,,1758782912,25.89,78.96,1000.46
,,,,1758782912,25.89,78.96,1000.46
,,,,1758782918,25.90,78.85,1000.46
,,,,1758782918,25.90,78.85,1000.46
,,,,1758782923,25.92,78.94,1000.46
,,,,1758782923,25.92,78.94,1000.46
,,,,1758782929,25.94,78.78,1000.46
,,,,1758782929,25.94,78.78,1000.46
,,,,1758782934,25.95,78.65,1000.46
,,,,1758782934,25.95,78.65,1000.46
