timestamp(unix),latitude,longitude,altitude,temperature,pressure,humidity
1758540699,1758540699,0.0,0.0,,,
1758540701,1758540701,0.0,0.0,,,
1758540703,1758540703,0.0,0.0,,,
1758540705,1758540705,0.0,0.0,,,
1758540707,1758540707,0.0,0.0,,,
1758540709,1758540709,0.0,0.0,,,
1758540711,1758540711,0.0,0.0,,,
1758540713,1758540713,0.0,0.0,,,
1758540715,1758540715,0.0,0.0,,,
1758540717,1758540717,0.0,0.0,,,
1758540719,1758540719,0.0,0.0,,,
1758540721,1758540721,0.0,0.0,,,
1758540723,1758540723,0.0,0.0,,,
1758540725,1758540725,0.0,0.0,,,
1758540727,1758540727,0.0,0.0,,,
1758540729,1758540729,0.0,0.0,,,
1758540731,1758540731,0.0,0.0,,,
1758540733,1758540733,0.0,0.0,,,
1758540735,1758540735,0.0,0.0,,,
1758540737,1758540737,0.0,0.0,,,
1758540739,1758540739,0.0,0.0,,,
1758540741,1758540741,0.0,0.0,,,
1758540743,1758540743,0.0,0.0,,,
1758540745,1758540745,0.0,0.0,,,
1758540747,1758540747,0.0,0.0,,,
1758540749,1758540749,0.0,0.0,,,
1758540751,1758540751,0.0,0.0,,,
1758540753,1758540753,0.0,0.0,,,
1758540755,1758540755,0.0,0.0,,,
1758540757,1758540757,0.0,0.0,,,
1758540759,1758540759,0.0,0.0,,,
1758540761,1758540761,0.0,0.0,,,
1758540763,1758540763,0.0,0.0,,,
1758540765,1758540765,0.0,0.0,,,
1758540767,1758540767,0.0,0.0,,,
1758540769,1758540769,0.0,0.0,,,
1758540771,1758540771,0.0,0.0,,,
1758540773,1758540773,0.0,0.0,,,
1758540775,1758540775,0.0,0.0,,,
1758540777,1758540777,0.0,0.0,,,
1758540779,1758540779,0.0,0.0,,,
1758540781,1758540781,0.0,0.0,,,
1758540783,1758540783,0.0,0.0,,,
1758540785,1758540785,0.0,0.0,,,
1758540787,1758540787,0.0,0.0,,,
1758540789,1758540789,0.0,0.0,,,
1758540791,1758540791,0.0,0.0,,,
1758540793,1758540793,0.0,0.0,,,
1758540795,1758540795,0.0,0.0,,,
1758540797,1758540797,0.0,0.0,,,
1758540799,1758540799,0.0,0.0,,,
1758540801,1758540801,0.0,0.0,,,
1758540803,1758540803,0.0,0.0,,,
1758540805,1758540805,0.0,0.0,,,
1758540807,1758540807,0.0,0.0,,,
1758540809,1758540809,0.0,0.0,,,
1758540811,1758540811,0.0,0.0,,,
1758540813,1758540813,0.0,0.0,,,
1758540815,1758540815,0.0,0.0,,,
1758540817,1758540817,0.0,0.0,,,
1758540819,1758540819,0.0,0.0,,,
1758540821,1758540821,0.0,0.0,,,
1758540823,1758540823,0.0,0.0,,,
1758540825,1758540825,0.0,0.0,,,
1758540827,1758540827,0.0,0.0,,,
1758540829,1758540829,0.0,0.0,,,
1758540831,1758540831,0.0,0.0,,,
1758540833,1758540833,0.0,0.0,,,
1758540835,1758540835,0.0,0.0,,,
1758540837,1758540837,0.0,0.0,,,
1758540839,1758540839,0.0,0.0,,,
1758540841,1758540841,0.0,0.0,,,
1758540843,1758540843,0.0,0.0,,,
1758540845,1758540845,0.0,0.0,,,
1758540847,1758540847,0.0,0.0,,,
1758540849,1758540849,0.0,0.0,,,
1758540851,1758540851,0.0,0.0,,,
1758540853,1758540853,0.0,0.0,,,
1758540855,1758540855,0.0,0.0,,,
1758540856,1758540855,0.0,0.0,1758540856,26.90,57.48
1758540856,1758540855,0.0,0.0,1758540856,26.90,57.48
1758540857,1758540857,0.0,0.0,1758540856,26.90,57.48
1758540859,1758540859,0.0,0.0,1758540856,26.90,57.48
1758540861,1758540861,0.0,0.0,1758540856,26.90,57.48
1758540862,1758540861,0.0,0.0,1758540862,26.57,56.59
1758540862,1758540861,0.0,0.0,1758540862,26.57,56.59
1758540863,1758540863,0.0,0.0,1758540862,26.57,56.59
1758540865,1758540865,0.0,0.0,1758540862,26.57,56.59
1758540867,1758540865,0.0,0.0,1758540867,26.31,56.76
1758540867,1758540865,0.0,0.0,1758540867,26.31,56.76
1758540867,1758540867,0.0,0.0,1758540867,26.31,56.76
1758540869,1758540869,0.0,0.0,1758540867,26.31,56.76
1758540871,1758540871,0.0,0.0,1758540867,26.31,56.76
1758540873,1758540871,0.0,0.0,1758540872,26.12,57.17
1758540873,1758540871,0.0,0.0,1758540872,26.12,57.17
1758540873,1758540873,0.0,0.0,1758540872,26.12,57.17
1758540875,1758540875,0.0,0.0,1758540872,26.12,57.17
1758540877,1758540877,0.0,0.0,1758540872,26.12,57.17
